 ID,PARAM,Date,Rocher-de-Grand-Mere,SYM
02NG001,1,2025/07/16,961,
02NG001,1,2025/07/17,1060,
02NG001,1,2025/07/18,967,
02NG001,1,2025/07/19,775,
02NG001,1,2025/07/20,716,
02NG001,1,2025/07/21,685,
02NG001,1,2025/07/22,780,
02NG001,1,2025/07/23,767,
02NG001,1,2025/07/24,818,
02NG001,1,2025/07/25,865,
02NG001,1,2025/07/26,865,
02NG001,1,2025/07/27,898,
02NG001,1,2025/07/28,844,
02NG001,1,2025/07/29,773,
02NG001,1,2025/07/30,782,
02NG001,1,2025/07/31,718,
02NG001,1,2025/08/01,684,
02NG001,1,2025/08/02,735,
02NG001,1,2025/08/03,662,
02NG001,1,2025/08/04,649,
02NG001,1,2025/08/05,781,
02NG001,1,2025/08/06,732,
02NG001,1,2025/08/07,649,
02NG001,1,2025/08/08,715,
02NG001,1,2025/08/09,664,
02NG001,1,2025/08/10,611,
02NG001,1,2025/08/11,593,
02NG001,1,2025/08/12,607,
02NG001,1,2025/08/13,622,
02NG001,1,2025/08/14,598,
02NG001,1,2025/08/15,565,
02NG001,1,2025/08/16,582,
02NG001,1,2025/08/17,505,
02NG001,1,2025/08/18,474,
02NG001,1,2025/08/19,471,
02NG001,1,2025/08/20,496,
02NG001,1,2025/08/21,594,
02NG001,1,2025/08/22,541,
02NG001,1,2025/08/23,565,
02NG001,1,2025/08/24,521,
02NG001,1,2025/08/25,541,
02NG001,1,2025/08/26,496,
02NG001,1,2025/08/27,485,
02NG001,1,2025/08/28,415,
02NG001,1,2025/08/29,440,
02NG001,1,2025/08/30,427,
02NG001,1,2025/08/31,401,
02NG001,1,2025/09/01,382,
02NG001,1,2025/09/02,438,
02NG001,1,2025/09/03,540,
02NG001,1,2025/09/04,560,
02NG001,1,2025/09/05,563,
02NG001,1,2025/09/06,507,
02NG001,1,2025/09/07,529,
02NG001,1,2025/09/08,523,
02NG001,1,2025/09/09,380,
02NG001,1,2025/09/10,481,
02NG001,1,2025/09/11,462,
02NG001,1,2025/09/12,506,
02NG001,1,2025/09/13,533,
02NG001,1,2025/09/14,541,
02NG001,1,2025/09/15,601,
02NG001,1,2025/09/16,563,
02NG001,1,2025/09/17,518,
02NG001,1,2025/09/18,547,
02NG001,1,2025/09/19,546,
02NG001,1,2025/09/20,615,
02NG001,1,2025/09/21,582,
02NG001,1,2025/09/22,507,
02NG001,1,2025/09/23,506,
02NG001,1,2025/09/24,476,
02NG001,1,2025/09/25,456,
02NG001,1,2025/09/26,437,
02NG001,1,2025/09/27,462,
02NG001,1,2025/09/28,455,
02NG001,1,2025/09/29,515,
02NG001,1,2025/09/30,528,
02NG001,1,2025/10/01,543,
02NG001,1,2025/10/02,549,
02NG001,1,2025/10/03,536,
02NG001,1,2025/10/04,477,
02NG001,1,2025/10/05,486,
02NG001,1,2025/10/06,462,
02NG001,1,2025/10/07,470,
02NG001,1,2025/10/08,531,
02NG001,1,2025/10/09,449,
02NG001,1,2025/10/10,481,
02NG001,1,2025/10/11,459,
02NG001,1,2025/10/12,477,
02NG001,1,2025/10/13,478,
02NG001,1,2025/10/14,506,
02NG001,1,2025/10/15,406,
02NG001,1,2025/10/16,406,
02NG001,1,2025/10/17,422,
02NG001,1,2025/10/18,428,
02NG001,1,2025/10/19,461,
02NG001,1,2025/10/20,455,
02NG001,1,2025/10/21,479,
02NG001,1,2025/10/22,408,
02NG001,1,2025/10/23,454,
02NG001,1,2025/10/24,465,
02NG001,1,2025/10/25,415,
02NG001,1,2025/10/26,405,
02NG001,1,2025/10/27,328,
02NG001,1,2025/10/28,379,
02NG001,1,2025/10/29,398,
02NG001,1,2025/10/30,421,
02NG001,1,2025/10/31,423,
02NG001,1,2025/11/01,405,
02NG001,1,2025/11/02,435,
02NG001,1,2025/11/03,500,
02NG001,1,2025/11/04,491,
02NG001,1,2025/11/05,583,
02NG001,1,2025/11/06,645,
02NG001,1,2025/11/07,753,
02NG001,1,2025/11/08,971,
02NG001,1,2025/11/09,1030,
02NG001,1,2025/11/10,873,
02NG001,1,2025/11/11,938,
02NG001,1,2025/11/12,989,
02NG001,1,2025/11/13,763,
02NG001,1,2025/11/14,686,
02NG001,1,2025/11/15,743,
02NG001,1,2025/11/16,796,
02NG001,1,2025/11/17,690,
02NG001,1,2025/11/18,700,
02NG001,1,2025/11/19,704,
02NG001,1,2025/11/20,690,
02NG001,1,2025/11/21,644,
02NG001,1,2025/11/22,616,
02NG001,1,2025/11/23,624,
02NG001,1,2025/11/24,593,
02NG001,1,2025/11/25,625,
02NG001,1,2025/11/26,605,
02NG001,1,2025/11/27,554,
02NG001,1,2025/11/28,545,
02NG001,1,2025/11/29,584,
02NG001,1,2025/11/30,553,
02NG001,1,2025/12/01,449,
02NG001,1,2025/12/02,450,
02NG001,1,2025/12/03,488,
02NG001,1,2025/12/04,537,
02NG001,1,2025/12/05,559,
02NG001,1,2025/12/06,605,
02NG001,1,2025/12/07,591,
02NG001,1,2025/12/08,581,
02NG001,1,2025/12/09,618,
02NG001,1,2025/12/10,552,
02NG001,1,2025/12/11,585,
02NG001,1,2025/12/12,545,
02NG001,1,2025/12/13,631,
02NG001,1,2025/12/14,657,
02NG001,1,2025/12/15,605,
02NG001,1,2025/12/16,631,
02NG001,1,2025/12/17,592,
02NG001,1,2025/12/18,650,
02NG001,1,2025/12/19,698,
02NG001,1,2025/12/20,656,
02NG001,1,2025/12/21,667,
02NG001,1,2025/12/22,698,
02NG001,1,2025/12/23,697,
02NG001,1,2025/12/24,693,
02NG001,1,2025/12/25,658,
02NG001,1,2025/12/26,664,
02NG001,1,2025/12/27,630,
02NG001,1,2025/12/28,597,
02NG001,1,2025/12/29,628,
02NG001,1,2025/12/30,497,
02NG001,1,2025/12/31,561,
02NG001,1,2026/01/01,561,
