 ID,PARAM,dateTime,Manic-1,SYM
02TC001,1,2035/05/22,1010,
02TC001,1,2035/05/23,1070,
02TC001,1,2035/05/24,878,
02TC001,1,2035/05/25,963,
02TC001,1,2035/05/26,799,
02TC001,1,2035/05/27,900,
02TC001,1,2035/05/28,946,
02TC001,1,2035/05/29,988,
02TC001,1,2035/05/30,886,
02TC001,1,2035/05/31,864,
02TC001,1,2035/06/01,1060,
02TC001,1,2035/06/02,872,
02TC001,1,2035/06/03,547,
02TC001,1,2035/06/04,1100,
02TC001,1,2035/06/05,1170,
02TC001,1,2035/06/06,1160,
02TC001,1,2035/06/07,767,
02TC001,1,2035/06/08,816,
02TC001,1,2035/06/09,496,
02TC001,1,2035/06/10,597,
02TC001,1,2035/06/11,796,
02TC001,1,2035/06/12,748,
02TC001,1,2035/06/13,759,
02TC001,1,2035/06/14,827,
02TC001,1,2035/06/15,1120,
02TC001,1,2035/06/16,1010,
02TC001,1,2035/06/17,838,
02TC001,1,2035/06/18,983,
02TC001,1,2035/06/19,1100,
02TC001,1,2035/06/20,1740,
02TC001,1,2035/06/21,1910,
02TC001,1,2035/06/22,1900,
02TC001,1,2035/06/23,1220,
02TC001,1,2035/06/24,1260,
02TC001,1,2035/06/25,1800,
02TC001,1,2035/06/26,1660,
02TC001,1,2035/06/27,1700,
02TC001,1,2035/06/28,1170,
02TC001,1,2035/06/29,946,
02TC001,1,2035/06/30,1180,
02TC001,1,2035/07/01,1460,
02TC001,1,2035/07/02,1670,
02TC001,1,2035/07/03,1870,
02TC001,1,2035/07/04,1740,
02TC001,1,2035/07/05,1780,
02TC001,1,2035/07/06,1240,
02TC001,1,2035/07/07,600,
02TC001,1,2035/07/08,759,
02TC001,1,2035/07/09,1050,
02TC001,1,2035/07/10,1010,
02TC001,1,2035/07/11,1040,
02TC001,1,2035/07/12,1160,
02TC001,1,2035/07/13,1210,
02TC001,1,2035/07/14,1250,
02TC001,1,2035/07/15,1210,
02TC001,1,2035/07/16,1500,
02TC001,1,2035/07/17,1320,
02TC001,1,2035/07/18,1150,
02TC001,1,2035/07/19,1060,
02TC001,1,2035/07/20,1490,
02TC001,1,2035/07/21,697,
02TC001,1,2035/07/22,1580,
02TC001,1,2035/07/23,1010,
02TC001,1,2035/07/24,1130,
02TC001,1,2035/07/25,1130,
02TC001,1,2035/07/26,1080,
02TC001,1,2035/07/27,1040,
02TC001,1,2035/07/28,799,
02TC001,1,2035/07/29,852,
02TC001,1,2035/07/30,852,
02TC001,1,2035/07/31,1030,
02TC001,1,2035/08/01,1030,
02TC001,1,2035/08/02,1430,
02TC001,1,2035/08/03,1280,
02TC001,1,2035/08/04,1390,
02TC001,1,2035/08/05,1870,
02TC001,1,2035/08/06,1970,
02TC001,1,2035/08/07,2270,
02TC001,1,2035/08/08,2240,
02TC001,1,2035/08/09,2320,
02TC001,1,2035/08/10,2360,
02TC001,1,2035/08/11,2320,
02TC001,1,2035/08/12,2250,
02TC001,1,2035/08/13,2270,
02TC001,1,2035/08/14,2470,
02TC001,1,2035/08/15,2070,
02TC001,1,2035/08/16,1840,
02TC001,1,2035/08/17,1460,
02TC001,1,2035/08/18,1360,
02TC001,1,2035/08/19,1380,
02TC001,1,2035/08/20,1340,
02TC001,1,2035/08/21,1330,
02TC001,1,2035/08/22,1170,
02TC001,1,2035/08/23,1300,
02TC001,1,2035/08/24,1530,
02TC001,1,2035/08/25,739,
02TC001,1,2035/08/26,453,
02TC001,1,2035/08/27,850,
02TC001,1,2035/08/28,767,
02TC001,1,2035/08/29,1100,
02TC001,1,2035/08/30,1140,
02TC001,1,2035/08/31,1420,
02TC001,1,2035/09/01,2190,
02TC001,1,2035/09/02,1650,
02TC001,1,2035/09/03,1150,
02TC001,1,2035/09/04,940,
02TC001,1,2035/09/05,1650,
02TC001,1,2035/09/06,1460,
02TC001,1,2035/09/07,2720,
02TC001,1,2035/09/08,1980,
02TC001,1,2035/09/09,1280,
02TC001,1,2035/09/10,1750,
02TC001,1,2035/09/11,1610,
02TC001,1,2035/09/12,1530,
02TC001,1,2035/09/13,1580,
02TC001,1,2035/09/14,1810,
02TC001,1,2035/09/15,1670,
02TC001,1,2035/09/16,1110,
02TC001,1,2035/09/17,1030,
02TC001,1,2035/09/18,903,
02TC001,1,2035/09/19,915,
02TC001,1,2035/09/20,909,
02TC001,1,2035/09/21,957,
02TC001,1,2035/09/22,977,
02TC001,1,2035/09/23,971,
02TC001,1,2035/09/24,949,
02TC001,1,2035/09/25,923,
02TC001,1,2035/09/26,1010,
02TC001,1,2035/09/27,912,
02TC001,1,2035/09/28,932,
02TC001,1,2035/09/29,932,
02TC001,1,2035/09/30,932,
02TC001,1,2035/10/01,951,
02TC001,1,2035/10/02,923,
02TC001,1,2035/10/03,963,
02TC001,1,2035/10/04,954,
02TC001,1,2035/10/05,1020,
02TC001,1,2035/10/06,1030,
02TC001,1,2035/10/07,1030,
02TC001,1,2035/10/08,1040,
02TC001,1,2035/10/09,1020,
02TC001,1,2035/10/10,1050,
02TC001,1,2035/10/11,1090,
02TC001,1,2035/10/12,1290,
02TC001,1,2035/10/13,985,
02TC001,1,2035/10/14,932,
02TC001,1,2035/10/15,1210,
02TC001,1,2035/10/16,1190,
02TC001,1,2035/10/17,1070,
02TC001,1,2035/10/18,1050,
02TC001,1,2035/10/19,1130,
02TC001,1,2035/10/20,1160,
02TC001,1,2035/10/21,985,
02TC001,1,2035/10/22,841,
02TC001,1,2035/10/23,912,
02TC001,1,2035/10/24,858,
02TC001,1,2035/10/25,1150,
02TC001,1,2035/10/26,1320,
02TC001,1,2035/10/27,1300,
02TC001,1,2035/10/28,1590,
02TC001,1,2035/10/29,2050,
02TC001,1,2035/10/30,2890,
02TC001,1,2035/10/31,2470,
02TC001,1,2035/11/01,2200,
02TC001,1,2035/11/02,2460,
02TC001,1,2035/11/03,2970,
02TC001,1,2035/11/04,1960,
02TC001,1,2035/11/05,1530,
02TC001,1,2035/11/06,1530,
02TC001,1,2035/11/07,1460,
02TC001,1,2035/11/08,1670,
02TC001,1,2035/11/09,1850,
02TC001,1,2035/11/10,1850,
02TC001,1,2035/11/11,1560,
02TC001,1,2035/11/12,1530,
02TC001,1,2035/11/13,1550,
02TC001,1,2035/11/14,1540,
02TC001,1,2035/11/15,1550,
02TC001,1,2035/11/16,1570,
02TC001,1,2035/11/17,1570,
02TC001,1,2035/11/18,1030,
02TC001,1,2035/11/19,1440,
02TC001,1,2035/11/20,1340,
02TC001,1,2035/11/21,1320,
02TC001,1,2035/11/22,1130,
02TC001,1,2035/11/23,1070,
02TC001,1,2035/11/24,881,
02TC001,1,2035/11/25,620,
02TC001,1,2035/11/26,1070,
02TC001,1,2035/11/27,1170,
02TC001,1,2035/11/28,1210,
02TC001,1,2035/11/29,1170,
02TC001,1,2035/11/30,1460,
02TC001,1,2035/12/01,1280,
02TC001,1,2035/12/02,1040,
02TC001,1,2035/12/03,1060,
02TC001,1,2035/12/04,1060,
02TC001,1,2035/12/05,1060,
02TC001,1,2035/12/06,1250,
02TC001,1,2035/12/07,1130,
02TC001,1,2035/12/08,1210,
02TC001,1,2035/12/09,1300,
02TC001,1,2035/12/10,1280,
02TC001,1,2035/12/11,1120,
02TC001,1,2035/12/12,1240,
02TC001,1,2035/12/13,1470,
02TC001,1,2035/12/14,1530,
02TC001,1,2035/12/15,1540,
02TC001,1,2035/12/16,1370,
02TC001,1,2035/12/17,1290,
02TC001,1,2035/12/18,1420,
02TC001,1,2035/12/19,1390,
02TC001,1,2035/12/20,1420,
02TC001,1,2035/12/21,1380,
02TC001,1,2035/12/22,1030,
02TC001,1,2035/12/23,923,
02TC001,1,2035/12/24,818,
02TC001,1,2035/12/25,702,
02TC001,1,2035/12/26,1010,
02TC001,1,2035/12/27,940,
02TC001,1,2035/12/28,1240,
02TC001,1,2035/12/29,1300,
02TC001,1,2035/12/30,1050,
02TC001,1,2035/12/31,980,
02TC001,1,2050/01/01,714,
02TC001,1,2050/01/02,963,
02TC001,1,2050/01/03,1330,
02TC001,1,2050/01/04,1360,
02TC001,1,2050/01/05,1190,
02TC001,1,2050/01/06,1420,
02TC001,1,2050/01/07,1170,
02TC001,1,2050/01/08,1310,
02TC001,1,2050/01/09,1320,
02TC001,1,2050/01/10,1440,
02TC001,1,2050/01/11,1470,
02TC001,1,2050/01/12,1470,
02TC001,1,2050/01/13,1180,
02TC001,1,2050/01/14,1320,
02TC001,1,2050/01/15,1400,
02TC001,1,2050/01/16,1190,
02TC001,1,2050/01/17,1210,
02TC001,1,2050/01/18,1370,
02TC001,1,2050/01/19,1350,
02TC001,1,2050/01/20,1450,
02TC001,1,2050/01/21,1490,
02TC001,1,2050/01/22,1430,
02TC001,1,2050/01/23,1400,
02TC001,1,2050/01/24,1490,
02TC001,1,2050/01/25,1350,
02TC001,1,2050/01/26,1270,
02TC001,1,2050/01/27,1040,
02TC001,1,2050/01/28,878,
02TC001,1,2050/01/29,1060,
02TC001,1,2050/01/30,1440,
02TC001,1,2050/01/31,1350,
02TC001,1,2050/02/01,1520,
02TC001,1,2050/02/02,1460,
02TC001,1,2050/02/03,1400,
02TC001,1,2050/02/04,1350,
02TC001,1,2050/02/05,1350,
02TC001,1,2050/02/06,1380,
02TC001,1,2050/02/07,1460,
