 ID,PARAM,dateTime,La Gabelle,SYM
02NG005,1,2025/11/10,967,
02NG005,1,2025/11/11,971,
02NG005,1,2025/11/12,1060,
02NG005,1,2025/11/13,876,
02NG005,1,2025/11/14,752,
02NG005,1,2025/11/15,807,
02NG005,1,2025/11/16,838,
02NG005,1,2025/11/17,795,
02NG005,1,2025/11/18,720,
02NG005,1,2025/11/19,766,
02NG005,1,2025/11/20,738,
02NG005,1,2025/11/21,740,
02NG005,1,2025/11/22,678,
02NG005,1,2025/11/23,693,
02NG005,1,2025/11/24,669,
02NG005,1,2025/11/25,722,
02NG005,1,2025/11/26,670,
02NG005,1,2025/11/27,662,
02NG005,1,2025/11/28,619,
02NG005,1,2025/11/29,662,
02NG005,1,2025/11/30,623,
02NG005,1,2025/12/01,504,
02NG005,1,2025/12/02,498,
02NG005,1,2025/12/03,586,
02NG005,1,2025/12/04,573,
02NG005,1,2025/12/05,609,
02NG005,1,2025/12/06,663,
02NG005,1,2025/12/07,663,
02NG005,1,2025/12/08,596,
02NG005,1,2025/12/09,685,
02NG005,1,2025/12/10,648,
02NG005,1,2025/12/11,663,
02NG005,1,2025/12/12,589,
02NG005,1,2025/12/13,690,
02NG005,1,2025/12/14,732,
02NG005,1,2025/12/15,678,
02NG005,1,2025/12/16,695,
02NG005,1,2025/12/17,627,
02NG005,1,2025/12/18,716,
02NG005,1,2025/12/19,771,
02NG005,1,2025/12/20,725,
02NG005,1,2025/12/21,707,
02NG005,1,2025/12/22,751,
02NG005,1,2025/12/23,796,
02NG005,1,2025/12/24,770,
02NG005,1,2025/12/25,721,
02NG005,1,2025/12/26,717,
02NG005,1,2025/12/27,685,
02NG005,1,2025/12/28,628,
02NG005,1,2025/12/29,707,
02NG005,1,2025/12/30,562,
02NG005,1,2025/12/31,626,
02NG005,1,2026/01/01,626,
