Beauharnois,La grande-1,Rene-Levesque,Jean-Lesage,Outardes-3,Bersimis-2,Carillon,Outardes-2,Peribonka,Laforge-2,Trenche,La tuque,Beaumont,Romaine-1,McCormick,Rocher-de-Grand-Mere,Paugan,Shawinigan-2,Shawinigan-3,Manic-1,Rapides-des-Iles,Chelsea,Sarcelle,La Gabelle,Premiere-Chute,Les Cedres,Rapides-des-Quinze,Rapides-Farmer,Chute-des-Chats,Rapide-des-Coeurs,Chute-Allard,Bryson,Rapide-2,Riviere-des-Prairies,Chute-Hemmings,Sept-Chutes,Drummondville,Chute-Bell,Mitis-1,Mitis-2,Gull Island,dateTime
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 02:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 03:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 04:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 05:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 06:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 07:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 08:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 09:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 10:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 11:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 12:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 13:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 14:00:00+00:00
